tconst,primaryTitle,startYear,worldwide,domestic,log_worldwide,log_domestic,dom_r,dom_g,dom_b,avg_brightness,avg_saturation,orange_teal_score,face_count,face_density,release_month,release_window
tt28625660,Honey Sweet,2023,10766032,,16.191906643303618,,252,251,248,211.84,112.31,0.5507,5,0.1333,8,Other
tt29793628,Believer,2024,18308,,9.815148021212604,,25,8,13,84.68,200.26,0.1141,1,0.0267,8,Other
tt4659710,The Limit Of,2018,5909,,8.684401110400144,,20,42,90,79.12,167.96,0.157,1,0.0282,10,Awards
tt5149490,Gwen,2018,47140,,10.760898389671992,,24,22,17,48.1,96.11,0.274,1,0.0267,7,Summer
tt12771918,Molecole,2020,46252,,10.7418816057018,,45,42,72,96.29,126.53,0.0598,0,0.0,9,Other
tt6750962,Channa Mereya,2017,33365,,10.41529269641562,,46,16,8,116.14,168.41,0.5823,4,0.1067,7,Other
tt10919418,Blind Love,2019,233066,,12.35908124486028,,252,252,252,191.66,19.27,0.1577,2,0.0533,12,Other
tt8239946,Tumbbad,2018,1691980,,14.341410589770836,,95,7,6,94.12,156.6,0.0889,1,0.0267,8,Other
tt4054008,Blood Bound,2019,10463,,9.25569607369698,,12,12,12,53.87,85.99,0.3817,0,0.0,1,Other
tt31498569,Extremely Unique Dynamic,2024,38207,38207.0,10.550800196752274,10.550800196752274,237,187,11,219.75,188.29,0.0709,6,0.16,3,Other
tt2231461,Rampage,2018,428128399,101028233.0,19.87493370855507,18.43091058029469,12,11,18,103.35,133.94,0.4722,2,0.0533,4,Spring
tt9799960,311 Enlarged to Show Detail 3,2019,238791,238791.0,12.383348159101898,12.383348159101898,245,248,249,199.74,52.42,0.2981,6,0.1805,3,Spring
tt32121131,Upstream,2024,69859,,11.154248518360824,,22,28,36,88.27,99.37,0.1579,14,0.3733,8,Other
tt14033342,The Quest for Tom Sawyer's Gold,2023,147919,,11.904426866061009,,37,49,15,139.0,153.45,0.0385,0,0.0,3,Other
tt7524444,The House Next Door: Meet the Blacks 2,2021,2893660,2893660.0,14.878033040404183,14.878033040404183,13,2,2,116.7,204.54,0.1523,2,0.0533,6,Summer
